country,region
Belarus,Eastern Europe
Bulgaria,Eastern Europe
Czechia,Eastern Europe
Hungary,Eastern Europe
Poland,Eastern Europe
Republic of Moldova,Eastern Europe
Romania,Eastern Europe
Russian Federation†,Eastern Europe
Slovakia,Eastern Europe
Ukraine,Eastern Europe
Åland Islands,Northern Europe
Denmark,Northern Europe
Estonia,Northern Europe
Faroe Islands,Northern Europe
Finland,Northern Europe
Iceland,Northern Europe
Ireland,Northern Europe
Isle of Man,Northern Europe
Latvia,Northern Europe
Lithuania,Northern Europe
Norway,Northern Europe
Svalbard and Jan Mayen Islands,Northern Europe
Sweden,Northern Europe
United Kingdom,Northern Europe
Albania,Southern Europe
Andorra,Southern Europe
Bosnia and Herzegovina,Southern Europe
Croatia,Southern Europe
Gibraltar,Southern Europe
Greece,Southern Europe
Holy See,Southern Europe
Italy,Southern Europe
Malta,Southern Europe
Montenegro,Southern Europe
North Macedonia,Southern Europe
Portugal,Southern Europe
San Marino,Southern Europe
Serbia,Southern Europe
Slovenia,Southern Europe
Spain,Southern Europe
Austria,Western Europe
Belgium,Western Europe
France,Western Europe
Germany,Western Europe
Liechtenstein,Western Europe
Luxembourg,Western Europe
Monaco,Western Europe
Netherlands,Western Europe
Switzerland,Western Europe
