id,country,total,food_production,food_manufacture,food_distribution,food_services,total_household_activities,year
belgium2020,Belgium,2881897,38699,1862177,73591,88333,819097,2020
bulgaria2020,Bulgaria,747941,63621,132817,46639,121867,382997,2020
czechia2020,Czechia,972445,27022,100339,64394,37941,742749,2020
denmark2020,Denmark,1286488,66452,596599,99500,62544,461392,2020
germany2020,Germany,10922321,190203,1612505,762352,1860980,6496282,2020
estonia2020,Estonia,166513,23612,31622,19976,10739,80564,2020
ireland2020,Ireland,766586,55408,219453,72169,178507,241048,2020
greece2020,Greece,2048189,372204,375158,150472,220032,930323,2020
spain2020,Spain,4260845,845620,1419257,348219,213023,1434726,2020
france2020,France,8713000,1221000,1729000,643000,1096000,4024000,2020
croatia2020,Croatia,286379,40916,9866,4180,15072,216345,2020
italy2020,Italy,8092591,712773,510018,343535,193915,6332349,2020
cyprus2020,Cyprus,354021,43564,169706,50268,27145,63338,2020
latvia2020,Latvia,275304,32487,36107,14765,35436,156509,2020
lithuania2020,Lithuania,382665,81202,28057,27342,4495,241570,2020
luxembourg2020,Luxembourg,92580,7384,10692,8525,8739,57240,2020
hungary2020,Hungary,905068,16587,187391,41952,19331,639806,2020
malta2020,Malta,79589,759,4668,3910,23016,47235,2020
netherlands2020,Netherlands,2811000,463045,1031407,209805,83035,1023708,2020
austria2020,Austria,1211534,13879,173734,84326,201956,737639,2020
poland2020,Poland,4246787,673160,787017,320396,190293,2275921,2020
portugal2020,Portugal,1812307,101384,61719,214233,161399,1273572,2020
slovenia2020,Slovenia,143570,93,10757,15290,42666,74764,2020
slovakia2020,Slovakia,576694,71889,125219,15825,7110,356650,2020
finland2020,Finland,641258,48011,162278,57555,77914,295500,2020
sweden2020,Sweden,925000,22000,53000,117000,98000,635000,2020
norway2020,Norway,769967,162158,29088,61281,97547,419893,2020
belgium2021,Belgium,3034977,34610,2022535,69568,96369,811895,2021
bulgaria2021,Bulgaria,711844,60081,131495,41211,117016,362041,2021
czechia2021,Czechia,:,:,:,:,:,:,2021
denmark2021,Denmark,1344550,57985,607693,99791,72081,507000,2021
germany2021,Germany,:,:,:,:,:,:,2021
estonia2021,Estonia,170501,18638,41302,13113,12474,84975,2021
ireland2021,Ireland,753081,52691,215601,75019,188955,220816,2021
greece2021,Greece,:,:,:,:,:,:,2021
spain2021,Spain,:,:,:,:,:,:,2021
france2021,France,8764000,1244000,1720000,633000,1084000,4083000,2021
croatia2021,Croatia,280008,39248,9464,4103,14797,212396,2021
italy2021,Italy,8291265,672971,542409,474252,263013,6338620,2021
cyprus2021,Cyprus,:,:,:,:,:,:,2021
latvia2021,Latvia,245442,30592,32518,16765,28617,136950,2021
lithuania2021,Lithuania,390645,81202,29271,33951,4651,241570,2021
luxembourg2021,Luxembourg,83622,7235,11333,8861,9466,46727,2021
hungary2021,Hungary,883486,12963,159309,57278,19337,634598,2021
malta2021,Malta,:,:,:,:,:,:,2021
netherlands2021,Netherlands,2586744,315150,1131100,209805,83035,847654,2021
austria2021,Austria,1201165,9555,187425,84286,178428,741472,2021
poland2021,Poland,4281212,639352,809287,345514,186433,2300626,2021
portugal2021,Portugal,1874832,126392,75257,224838,162903,1285442,2021
slovenia2021,Slovenia,143254,71,13428,14465,39923,75368,2021
slovakia2021,Slovakia,537486,23764,125013,17630,8988,362091,2021
finland2021,Finland,693662,49950,158334,57460,80991,346927,2021
sweden2021,Sweden,900000,22000,53000,108000,98000,619000,2021
norway2021,Norway,777404,177958,28338,69221,94556,407331,2021
