country,common_name
Albania,Cherry
Algeria,Dates
Angola,Palm
Antigua and Barbuda,Pineapple
Argentina,Apple
Armenia,Apricot
Australia,Riberry
Austria,Apple
Azerbaijan,Pomegranate
Bangladesh,Jackfruit
Brazil,Cupuaçu
Belgium,Apple
Bulgaria,Apple
Cambodia,Chicken egg banana(chek pong moan in Khmer)
Cameroon,Safou
Canada,Blueberries
Colombia,Borojó
Central African Republic,Banana
Cyprus,Banana
China,Fuzzy kiwifruit
Cuba,Mamey
Denmark,Strawberries
Egypt,Banana
France,Pear
Germany,Apple
Greece,Olive
Haiti,Mango
Hungary,Orange
India,Mango
Indonesia,Durian
Iran,Pomegranate
Ireland,Cox's Orange Pippin
Israel,Sabra/Prickly pear
Jamaica,Ackee
Japan,Japanese persimmon
Malaysia,Papaya or Durian
Maldives,Coconut
Mexico,Avocado
Morocco,Fuzzy kiwifruit
Nepal,Orange
Netherlands,Apple
New Zealand,Kiwifruit
Nigeria,Ackee
North Korea,Asian Pear
Norway,Cloudberries
Pakistan,Mango
Poland,Apple
Portugal,Apple
Philippines,Mango
Romania,Apple
Russia,Apple
Saudi Arabia,Dates
Serbia,Plum
Seychelles,Coco de mer
Singapore,Durian
South Africa,Ackee
South Korea,Asian Pear
Spain,Grape
Sri Lanka,Jackfruit
Sweden,Apple
Switzerland,Apple
Taiwan,Pineapple
Thailand,Mangosteen
Türkiye,Sultana Grapes
Turkmenistan,Watermelon
United Arab Emirates,Dates
United Kingdom,Apple
United States,Blueberries
Ukraine,Water Elder
Vietnam,Pitaya
